Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,City,Customer_Segment,Payment_Method
ORD09130,2024-03-23,CUST02722,Blender,Home Appliances,8,67.17,0.05,510.49,414.0,96.49,Chennai,Home Office,Credit Card
ORD04526,2023-06-03,CUST00659,Jacket,Fashion,1,152.46,0.25,114.34,91.14,23.2,Chennai,Corporate,Cash
ORD01745,2023-06-18,CUST00162,Headphones,Electronics,6,183.0,0.2,878.4,980.4,-102.0,Bhubaneswar,Consumer,Debit Card
ORD06248,2025-06-16,CUST01141,Smartphone,Electronics,4,1202.5,0.0,4810.0,3392.36,1417.64,Bangalore,Corporate,Debit Card
ORD07863,2023-02-11,CUST03469,Shoes,Fashion,1,134.93,0.0,134.93,85.82,49.11,Bhubaneswar,Consumer,Credit Card
ORD08411,2025-01-23,CUST00987,Shoes,Fashion,5,117.2,0.2,468.8,503.75,-34.95,Delhi,Home Office,Cash
ORD10125,2024-09-04,CUST00572,Microwave,Home Appliances,7,208.29,0.1,1312.23,1351.91,-39.68,Pune,Consumer,PayPal
ORD08026,2024-04-19,CUST01624,Laptop,Electronics,7,956.24,0.1,6024.31,5827.99,196.32,Chennai,Corporate,Credit Card
ORD00812,2025-04-20,,Headphones,Electronics,3,104.63,0.25,235.42,191.07,44.35,Pune,Corporate,Cash
ORD10888,2024-12-02,CUST01420,Smartphone,Electronics,7,363.98,0.05,2420.47,2320.78,99.69,Bhubaneswar,Corporate,Cash
ORD04376,2024-03-15,CUST02256,T-Shirt,Fashion,4,31.24,0.25,93.72,73.56,20.16,Jaipur,Consumer,Credit Card
ORD11369,2024-05-24,CUST02005,Shoes,Fashion,5,200.11,0.1,900.5,665.8,234.7,Kolkata,Corporate,Credit Card
ORD04522,2023-01-25,CUST01351,Laptop,Electronics,1,1306.02,0.2,1044.82,1023.09,21.73,Jaipur,Consumer,PayPal
ORD11954,2024-02-20,CUST02677,Coffee Maker,Home Appliances,7,433.51,0.15,2579.38,1748.6,830.78,Delhi,Corporate,UPI
ORD06849,2024-02-09,CUST02024,Keyboard,Electronics,1,128.68,0.1,115.81,119.92,-4.11,Pune,Home Office,Credit Card
ORD03897,2025-04-08,CUST01782,Shoes,Fashion,2,76.56,0.05,145.46,129.78,15.68,,Corporate,UPI
ORD05685,2024-02-18,CUST02753,Smartphone,Electronics,6,1320.63,0.25,5942.84,5264.52,678.32,Chennai,Consumer,Credit Card
ORD01140,2024-03-13,CUST01312,Backpack,Accessories,3,39.52,0.05,112.63,69.18,43.45,Bhubaneswar,Consumer,PayPal
ORD05050,2025-01-18,CUST03010,Backpack,Accessories,3,125.29,0.05,357.08,265.89,91.19,Pune,Home Office,Cash
ORD03670,2023-05-13,CUST03424,Smartphone,Electronics,6,1113.16,0.05,6345.01,4728.96,1616.05,Jaipur,Corporate,credit card
ORD06335,2024-09-09,CUST02082,Blender,Home Appliances,4,97.92,0.05,372.1,263.24,108.86,Bhubaneswar,Consumer,upi
ORD08531,2024-08-20,CUST01384,Backpack,Accessories,1,112.1,0.05,106.49,81.09,25.4,Kolkata,Consumer,Credit Card
ORD08691,2023-06-12,CUST01101,Microwave,Home Appliances,5,259.58,0.15,1103.21,936.4,166.81,Kolkata,Corporate,Debit Card
ORD06149,2025-02-25,CUST01597,Laptop,Electronics,2,1071.92,0.1,1929.46,1838.9,90.56,Bangalore,Corporate,Debit Card
ORD09357,2025-06-20,CUST02063,T-Shirt,Fashion,2,73.83,0.05,140.28,104.8,35.48,Ahmedabad,Corporate,PayPal
